HGNC symbol	EntrezGene ID
RNU6-280P	
	
RNU1-62P	
DPPA2P2	
SERTAD4-AS1	
RNA5SP136	
	101929901
RYBP	23429
FOXO6	100132074
INPP5D	3635
OBP2B	29989
SERTAD4	56256
SLC16A1	6566
ST13P19	
LCN1P1	
AKR7A2P1	
	100996251
LCN1P2	
KAT6B	23522
HHAT	55733
SURF6	6838
RPS6KA1	6195
NDUFA10	4705
	400743
ZNF445	353274
PADI1	29943
MED22	6837
RNU5A-8P	
ZNF852	285346
PADI3	51702
RN7SL32P	
EI24P3	
MIR3972	100616188
PADI4	23569
MIR1976	100302190
RN7SL679P	
ZKSCAN7	55888
RNU7-29P	
RPL7A	6130
PADI6	353238
RCC2	55920
SNORD24	26820
SNORD36B	
SNORD36A	26815
SNORD36C	26813
ZNF660	285349
MPRIPP1	
SURF1	6834
ATG16L1	55054
ZNF197	10168
SURF2	6835
ZNF197-AS1	100874094
ZNF35	7584
SURF4	6836
SOCS5P3	
ZNF502	91392
ZNF501	115560
KIAA1143	57456
STKLD1	169436
REXO4	57109
SCARNA5	677775
SCARNA6	677772
KIF15	56992
SAG	6295
TMEM42	131616
TMEM42	693149
TGM4	7047
DGKD	8527
ADAMTS13	11093
ZDHHC3	51304
CACFD1	11094
SLC2A6	11182
ABO	28
BCL7A	605
	100506691
CTBP2P1	
NALCN-AS1	100885778
PRAMEF11	440560
LINC00411	
FAM230C	26080
GGT4P	
MLXIP	22877
PRAMEF30P	
SETD8P1	
HNRNPCL1	343069
BCL2L14	79370
RASA3	22821
PRAMEF2	65122
PRAMEF4	400735
PRAMEF10	343071
RASA3-IT1	
PRAMEF7	441871
RNU6-1072P	
PRAMEF29P	
IGKV5-2	
PRAMEF6	440561
MIR1244-4	103504734
FOXR1	283150
PRAMEF28P	
PRAMEF27	101929983
PRAMEF25	441873
PRAMEF25	645359
LRP6	4040
HNRNPCL3	649330
PRAMEF34P	
PRAMEF35P	
CCDC84	338657
HNRNPCL2	440563
PRAMEF36P	
PRAMEF26	645359
HNRNPCL4	101060301
PRAMEF9	343070
PRAMEF13	
PRAMEF18	391003
PRAMEF31P	
RPL23AP64	
PRAMEF5	343068
PRAMEF32P	
RNU6-443P	
RNU6-771P	
RPS25	6230
PRAMEF8	391002
DUPD1	338599
RNU6-545P	
RNU6-318P	
MANSC1	54682
PRAMEF15	653619
RPL23AP66	
LOH12CR2	503693
PRAMEF33P	
BORCS5	118426
	645414
	653606
DUSP16	80824
TRAPPC4	51399
TRAPPC4	100500840
LEUTX	342900
DYRK1B	9149
MIR6719	102465974
HYOU1	10525
FBL	2091
PRR13P5	
PSMC4	5704
ZNF546	339327
ZNF780B	163131
ZNF780A	284323
VPS11	55823
FCGBP	8857
HMBS	3145
SLC37A4	2542
ATAD1	84896
CFL1P1	142913
CTIF	9811
RN7SL78P	
NDUFB11P1	
RPL11P3	
MED6P1	
KLLN	100144748
PTEN	5728
FRG1	2483
FAT3	120114
MIR4743	100616366
PGAM1P9	
MAP4K1	11184
IGKV7-3	
PGBD4P5	
DPP6	1804
IGKV2-4	
IGKV1-5	
IGKV1-6	
IGKV3-7	
IGKV1-8	
IGKV1-9	
IGKV2-10	
IGKV3-11	
IGKV1-12	
